Cross-Platform experiment,,,
Fixture_number,Maize_cultivar,DW_shoot(g),DW_root(g)
1,"S2,EPPN1_L","2,2",1
2,"S2,EPPN4_H","2,7","0,5"
3,"S2,EPPN1_H","2,7","0,3"
4,"S2,EPPN2_L","1,1","0,1"
5,"S2,EPPN3_L","2,2","0,4"
6,"S2,EPPN4_L","1,3","0,4"
7,"S2,EPPN_T","1,2","0,2"
8,"S2,EPPN3_H","3,1",1
9,"S2,EPPN2_H","1,6","0,4"
10,"S1,EPPN1_L","4,6","0,9"
11,"S1,EPPN3_H","4,3","0,6"
12,"S1,EPPN1_H","5,6","1,2"
13,"S1,EPPN4_H","4,1",1
14,"S1,EPPN4_L","3,7","0,9"
15,"S1,EPPN2_L","1,8","0,1"
16,"S1,EPPN2_H","4,9","1,5"
17,"S1,EPPN3_L","3,4","0,6"
18,"S1,EPPN_T","3,2","0,8"
19,"S2,EPPN3_H","3,6","0,8"
20,"S2,EPPN2_L","1,5","0,3"
21,"S2,EPPN_T","0,9","0,1"
22,"S2,EPPN2_H","2,6","0,6"
23,"S2,EPPN4_L","1,0","0,1"
24,"S2,EPPN1_L","3,2","0,9"
25,"S2,EPPN3_L","3,1","0,9"
26,"S2,EPPN4_H","3,3","0,8"
27,"S2,EPPN1_H","3,8","1,7"
28,"S1,EPPN3_H","6,3","1,1"
29,"S1,EPPN3_L","3,4","0,7"
30,"S1,EPPN1_L","4,2","0,8"
31,"S1,EPPN1_H","7,8","1,9"
32,"S1,EPPN4_H","6,4","2,1"
33,"S1,EPPN_T","2,6","0,5"
34,"S1,EPPN4_L","3,4","0,8"
35,"S1,EPPN2_L","2,9","0,7"
36,"S1,EPPN2_H","5,2","2,3"
37,"S2,EPPN2_L","1,6","0,3"
38,"S2,EPPN_T","0,8","0,1"
39,"S2,EPPN3_H","2,3","0,5"
40,"S2,EPPN3_L","2,1","0,2"
41,"S2,EPPN4_H","3,1","0,7"
42,"S2,EPPN2_H","3,2","0,7"
43,"S2,EPPN1_H","4,4","1,3"
44,"S2,EPPN4_L","1,2","0,4"
45,"S2,EPPN1_L","3,2","1,2"
46,"S1,EPPN2_H","7,1","4,3"
47,"S1,EPPN_T","4,1","0,6"
48,"S1,EPPN4_H","6,5","1,6"
49,"S1,EPPN3_H","3,9","0,7"
50,"S1,EPPN1_L","6,1","1,3"
51,"S1,EPPN1_H",N/A,"0,7"
52,"S1,EPPN2_L","3,4","0,6"
53,"S1,EPPN4_L","2,3","0,7"
54,"S1,EPPN3_L","5,2","1,9"
55,"S1,EPPN1_H","7,2",5
56,"S1,EPPN2_L","3,0","0,6"
57,"S1,EPPN2_H","5,2","2,4"
58,"S1,EPPN4_L","3,5","0,9"
59,"S1,EPPN_T","1,7","0,2"
60,"S1,EPPN3_L","3,7","0,7"
61,"S1,EPPN3_H","5,0","1,2"
62,"S1,EPPN1_L","5,2","1,6"
63,"S1,EPPN4_H","4,9","1,6"
64,"S2,EPPN4_L","2,2","1,1"
65,"S2,EPPN1_H","4,1","1,3"
66,"S2,EPPN3_L","3,7","1,1"
67,"S2,EPPN4_H","4,9","2,3"
68,"S2,EPPN2_H","1,9",1
69,"S2,EPPN3_H","1,7",1
70,"S2,EPPN1_L","3,0","1,1"
71,"S2,EPPN_T","2,0","0,3"
72,"S2,EPPN2_L","1,2","0,6"
73,"S1,EPPN3_L","4,2","1,2"
74,"S1,EPPN2_H","6,4","3,5"
75,"S1,EPPN4_L","3,2","0,8"
76,"S1,EPPN1_L","5,8","1,2"
77,"S1,EPPN1_H","7,1",4
78,"S1,EPPN3_H","6,3","1,8"
79,"S1,EPPN_T","1,4","0,1"
80,"S1,EPPN4_H","4,3",1
81,"S1,EPPN2_L","2,6","0,5"
82,"S2,EPPN2_H","3,4","0,8"
83,"S2,EPPN3_L","2,5","0,6"
84,"S2,EPPN4_L","2,4","0,9"
85,"S2,EPPN_T","1,6","0,1"
86,"S2,EPPN2_L","1,3","0,1"
87,"S2,EPPN1_H","4,5","2,3"
88,"S2,EPPN4_H","3,6","0,9"
89,"S2,EPPN1_L","2,8","1,5"
90,"S2,EPPN3_H","2,3","0,6"
91,"S2,EPPN4_H","2,7","0,7"
92,"S2,EPPN4_L","2,3","0,5"
93,"S2,EPPN2_L","1,0","0,1"
94,"S2,EPPN1_L","2,8","0,7"
95,"S2,EPPN3_H","3,5","0,7"
96,"S2,EPPN_T","1,8","0,7"
97,"S2,EPPN2_H","3,7","0,9"
98,"S2,EPPN1_H","4,7","1,3"
99,"S2,EPPN3_L","2,5","0,8"
100,"S1,EPPN_T","1,9","0,1"
101,"S1,EPPN1_L","8,0","1,6"
102,"S1,EPPN3_H","3,5","0,5"
103,"S1,EPPN3_L","4,2","0,8"
104,"S1,EPPN2_L","2,9","0,5"
105,"S1,EPPN4_H","3,2","0,6"
106,"S1,EPPN1_H","4,2","0,9"
107,"S1,EPPN2_H","5,3","1,2"
108,"S1,EPPN4_L","3,2","0,8"
109,"S1,EPPN3_L","3,5","0,6"
110,"S2,EPPN2_L","1,2","0,4"
111,"S2,EPPN2_L","1,5","0,4"
112,"S1,EPPN2_L","2,1","0,3"
113,"S1,EPPN2_L","2,0","0,3"
114,"S2,EPPN1_L","1,3","0,4"
115,"S2,EPPN1_L","1,6","0,6"
116,"S1,EPPN1_L","2,9","1,1"
117,"S1,EPPN1_L","3,3","0,9"